Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",IT Carlow,N/A
1,2018/2019,(Other) EU,(0413) Management and administration,IT Carlow,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0512) Biochemistry,IT Carlow,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Waterford IT,N/A
1,2018/2019,(Other) EU,(0714) Electronics and automation,Waterford IT,N/A
11,2018/2019,(Other) EU,"(0716) Motor vehicles, ships and aircraft",IT Carlow,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,Waterford IT,N/A
1,2018/2019,(Other) EU,(0915) Therapy and rehabilitation,IT Carlow,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0731) Architecture and town planning,Waterford IT,N/A
2,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
4,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0213) Fine arts,Cork IT,N/A
1,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Limerick IT,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0912) Medicine,"National University of Ireland, Galway",N/A
14,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0413) Management and administration,Cork IT,N/A
1,2018/2019,(Other) EU,(0416) Wholesale and retail sales,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0421) Law,Waterford IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Cork IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Waterford IT,N/A
2,2018/2019,(Other) EU,(0531) Chemistry,Cork IT,N/A
1,2018/2019,(Other) EU,(0611) Computer use,Cork IT,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,University of Limerick,N/A
1,2018/2019,(Other) EU,(0914) Medical diagnostic and treatment technology,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(1014) Sports,Waterford IT,N/A
1,2018/2019,(Other) EU,(0031) Personal skills and development,Letterkenny IT,N/A
3,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Letterkenny IT,N/A
1,2018/2019,(Other) EU,"(1013) Hotel, restaurants and catering",Letterkenny IT,N/A
7,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0021) Literacy and numeracy,Technological University Dublin,N/A
6,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Technological University Dublin,N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design","Dun Laoghaire Institute of Art, Design and Technology",N/A
1,2018/2019,(Other) EU,(0213) Fine arts,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0215) Music and performing arts,Technological University Dublin,N/A
4,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0231) Language acquisition,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0313) Psychology,"National University of Ireland, Galway",N/A
9,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0413) Management and administration,IT Carlow,N/A
3,2018/2019,(Other) EU,(0413) Management and administration,Technological University Dublin,N/A
